given_name,surname,gender,birthdate,country_of_birth,current_country,phone_number,postcode,national_insurance_number,bank_account_number,cc_status,weight,height,blood_group,avg_n_drinks_per_week,avg_n_cigret_per_week,education_level,n_countries_visited
Lorraine,Reed,F,1984-07-05,Armenia,United Kingdom,(07700) 900876,LS5 8FN,ZZ 19 48 92 T,051157818,0,74.2,1.73,B+,6.5,218.8,phD,48
Edward,Williams,M,1997-06-17,Northern Mariana Islands,United Kingdom,(07700) 900 877,M0U 1RA,ZZ 753513 T,103328715,0,69.4,1.74,O-,0.7,43.6,primary,42
Hannah,Turner,F,1990-06-15,Venezuela,United Kingdom,+447700 900148,SO1 8HZ,ZZ 947196 T,069342327,0,98.6,1.88,B+,7.8,59.1,bachelor,9
Christine,Osborne,F,2000-07-29,Eritrea,United Kingdom,+447700 900112,B18 8LW,ZZ 39 69 47 T,085159170,0,62.0,1.56,O+,4.6,284.2,primary,32
Francesca,Yates,F,1968-11-04,Ecuador,United Kingdom,07700 900 413,TQ2 6BE,ZZ 30 98 91 T,011399166,0,96.3,1.81,A-,4.4,348.8,secondary,34
Joanne,Middleton,F,1963-10-15,Argentina,United Kingdom,+44(0)7700 900 032,CM7H 0XS,ZZ 141314 T,066208707,0,43.4,1.59,A-,5.7,219.3,other,7
Joel,Spencer,M,1982-07-08,Cook Islands,United Kingdom,(07700) 900579,L02 5WL,ZZ 97 20 76 T,108456420,0,77.5,1.55,B+,2.4,79.5,secondary,34
Leonard,Marshall,M,1987-01-20,Saint Vincent and the Grenadines,United Kingdom,07700 900508,CR3 5ZN,ZZ 599246 T,126109351,0,59.0,1.89,A+,8.4,48.0,other,24
Tracy,Smith,F,1999-04-07,Kiribati,United Kingdom,+447700 900 960,WR96 2TD,ZZ278789T,010754702,0,83.1,1.42,A+,1.2,148.1,secondary,17
Gavin,Kay,M,1998-12-21,Belize,United Kingdom,+44(0)7700900206,KT5A 0AW,ZZ 131934 T,052176102,0,80.0,1.74,A+,5.2,47.0,bachelor,47
Ashley,Johnston,M,1963-10-08,Tokelau,United Kingdom,(07700) 900285,G4 0BH,ZZ 485590 T,129776587,0,43.6,1.83,A+,1.8,293.3,primary,42
Craig,Martin,M,1995-11-05,French Guiana,United Kingdom,07700 900 224,HR5 5ZB,ZZ 42 29 45 T,078241736,0,52.6,1.84,AB+,2.5,288.1,bachelor,29
